date,sh.600843.csv,sh.600863.csv,sh.600867.csv,sh.600143.csv,sz.000796.csv,sh.600352.csv,sh.600016.csv,sh.600133.csv,sz.000776.csv,sz.300740.csv
2007-04-19,10.0094939,2.21206524,2.37415752,6.99602868,8.920845,1.7801742,2.76044958,5.86285578,3.85831435,
2007-04-20,10.85187705,2.3998821,2.44795739,7.34571036,9.24794265,1.853116,2.83193992,6.15446379,3.85831435,
2007-04-23,10.98071212,2.53105578,2.49349348,7.3409202,9.8327536,1.9556288,2.90112412,6.27213018,3.85831435,
2007-04-24,10.65366925,2.52211212,2.56729335,7.125363,9.94178615,2.0049138,2.9057364,6.139116,3.85831435,
2007-04-25,10.5050134,2.44161918,2.47308075,7.11099252,9.48583185,2.0463132,3.1017583,6.16981158,3.85831435,
2007-04-26,10.55456535,2.45056284,2.43696592,6.98884344,9.42635955,2.0285706,3.08330918,6.47676738,3.85831435,
2007-04-27,10.87169783,2.41180698,2.34432353,6.82837308,9.7336331,1.9871712,3.01181884,6.78372318,3.85831435,
2007-04-30,10.8023251,2.36410746,2.49349348,7.39840212,9.7336331,1.9871712,3.00028814,6.84511434,3.85831435,
2007-05-08,11.22847187,2.46845016,2.51390621,7.60198392,9.7336331,2.079827,3.03026796,7.04975154,3.85831435,
2007-05-09,10.86178744,2.71589142,2.46208928,7.60677408,10.39774045,2.1567116,3.14326882,6.87069399,3.85831435,
2007-05-10,11.0996368,2.71589142,2.49506369,7.41037752,10.33826815,2.1527688,3.12943198,6.87069399,3.85831435,
2007-05-11,11.45641084,2.6532858,2.4652297,7.17565968,9.94178615,2.0975696,3.22167758,7.13160642,3.85831435,
2007-05-14,12.07085502,2.6234736,2.4652297,7.24990716,9.7931054,2.0778556,3.33006616,7.11625863,3.85831435,
2007-05-15,11.20865109,2.4744126,2.40556172,7.065486,8.99022935,1.961543,3.12020742,6.75814353,3.85831435,
2007-05-16,11.24829265,2.58471774,2.41498298,7.4127726,9.0794378,2.0167422,3.16863636,6.75814353,3.85831435,
2007-05-17,11.45641084,2.6383797,2.49192327,8.1552474,9.26776675,2.0482846,3.16633022,7.09579491,3.85831435,
2007-05-18,11.78345371,2.61154872,2.5594423,8.39236032,9.26776675,2.1271406,3.09253374,7.44879408,3.85831435,
2007-05-21,12.19969009,2.70396654,2.75257813,8.98634016,9.6543367,2.2138822,3.03949252,7.82225697,3.85831435,
2007-05-22,12.17986931,2.92457682,2.73373561,8.81628948,9.8724018,2.2217678,3.05332936,8.21106765,3.85831435,
2007-05-23,12.37807711,2.93352048,2.74001645,8.83065996,10.29861995,2.444536,3.06947234,8.43105264,3.85831435,
2007-05-24,13.44839923,2.85898998,2.66621658,8.30374236,9.9913464,2.6199906,3.07639076,8.63568984,3.85831435,
2007-05-25,13.64660703,2.86495242,2.93315228,8.49534876,10.35809225,2.5943624,3.04641094,8.31338625,3.85831435,
2007-05-28,13.69615898,2.91861438,3.01794362,8.4306816,10.506773,2.6298476,3.09714602,8.2878066,3.85831435,
2007-05-29,13.41866806,3.00805098,3.14042,8.40912588,10.3283561,2.681104,3.14557496,8.32873404,3.85831435,
2007-05-30,12.08076541,2.82917778,2.826378,7.75766412,9.2975029,2.9492144,2.87345044,7.91434371,3.85831435,
2007-05-31,10.87169783,2.70992898,2.82323758,8.04507372,8.3657702,2.75996,3.08561532,7.5204171,3.85831435,
2007-06-01,9.78155493,2.43863796,2.54531041,8.0474688,7.533158,2.483964,3.09483988,7.14695421,3.85831435,
2007-06-04,8.80042632,2.19417792,2.29093639,7.53492168,6.7798422,2.2355676,2.79273554,6.78883911,3.85831435,
2007-06-05,9.34549777,2.12560986,2.31448954,7.8798132,6.5816012,2.17987824,2.87575658,6.45118773,3.85831435,
2007-06-06,9.25630426,2.14349718,2.34275332,7.70257728,6.6014253,2.2972257,2.85038904,6.1902753,3.85831435,
2007-06-07,9.54370557,2.21206524,2.50919558,8.03788848,7.26553265,2.386728,2.93571622,6.50234703,3.85831435,
2007-06-08,9.82119649,2.25678354,2.48564243,8.37798984,7.3547411,2.43048468,2.93341008,6.65582493,3.85831435,
2007-06-11,9.46442245,2.24783988,2.512336,8.4306816,7.3150929,2.43048468,3.10354317,6.52281075,3.85831435,
2007-06-12,9.1175588,2.31342672,2.52489768,8.682165,7.2159724,2.67313536,3.11726352,6.31305762,3.85831435,
2007-06-13,9.85092766,2.41180698,2.75728876,8.801919,7.5926303,2.72683674,3.18586527,6.63024528,3.85831435,
2007-06-14,9.94012117,2.31938916,2.6222507,8.43786684,7.334917,2.64727914,3.12275166,6.96278073,3.85831435,
2007-06-15,9.44460167,2.26870842,2.57043377,8.70372072,7.14658805,2.66120172,3.18586527,7.17764979,3.85831435,
2007-06-18,9.85092766,2.3253516,2.65208469,8.85940092,7.3150929,2.7149031,3.27916365,7.20322944,3.85831435,
2007-06-19,9.77164454,2.34323892,2.68976973,9.101304,7.48359775,2.65722384,3.2654433,7.39763478,3.85831435,
2007-06-20,10.75277315,2.3104455,2.6065486,9.08214336,7.54307005,2.55181002,3.14470422,7.24415688,3.85831435,
2007-06-21,11.83300566,2.25976476,2.64423364,9.340812,7.38447725,2.49413076,3.1556805,7.07533119,3.85831435,
2007-06-22,10.65366925,2.08387278,2.46679991,9.91323612,6.65098555,2.30518146,3.08707875,6.72233202,3.85831435,
2007-06-25,10.65366925,1.87518738,2.22027694,10.08568188,5.9868782,2.25148008,3.06787026,6.38468064,3.85831435,
2007-06-26,9.97976273,1.85730006,2.22812799,10.28447352,5.94723,2.39866164,3.05140584,6.14934786,3.85831435,
2007-06-27,9.8112861,1.86624372,2.25796198,10.27728828,6.0067023,2.41855104,3.2105619,6.24655053,3.85831435,
2007-06-28,8.83015749,1.86624372,2.03185174,9.69767892,5.52101185,2.26341372,3.10628724,5.9344788,3.85831435,
2007-06-29,7.94813278,1.67842686,1.83086486,9.23063832,5.2335624,2.14407732,3.13647201,5.63775486,3.85831435,
2007-07-02,8.08687824,1.81556298,1.87169032,8.9336484,5.75890105,2.20573446,3.2105619,5.35637871,3.85831435,
2007-07-03,7.98777434,1.82152542,1.90152431,9.6042708,5.9075818,2.27932524,3.22153818,5.5252044,3.85831435,
2007-07-04,7.50216523,1.73805126,1.80731171,9.24740388,5.6696926,2.29125888,3.1282398,5.43823359,3.85831435,
2007-07-05,6.74897559,1.5651405,1.74607352,8.9575992,5.4516275,2.10032064,3.05689398,5.1670893,3.85831435,
2007-07-06,7.2345847,1.6694832,1.884252,9.32404644,5.99679025,2.21567916,3.12000759,5.25917604,3.85831435,
2007-07-09,7.4327925,1.6992954,1.9313583,9.41505948,6.13555895,2.24153538,3.20781783,5.44846545,3.85831435,
2007-07-10,7.12557041,1.61284002,1.95805187,9.03184668,5.83819745,2.1281658,3.22977039,5.71960974,3.85831435,
2007-07-11,7.20485353,1.6694832,1.97218376,8.97675984,5.94723,2.14606626,3.27093144,6.00610182,3.85831435,
2007-07-12,7.17512236,1.73805126,1.9784646,9.18992196,5.8877577,2.10628746,3.35325354,6.30794169,3.85831435,
2007-07-13,7.06610807,1.70227662,1.92978809,9.39110868,5.81837335,2.13612156,3.33130098,6.62512935,3.85831435,
